8558,1355,27987
51828,64554,61771
21092,96778,69513
84219,58520,31084
97464,11470,75659
88825,36460,36857
61817,65439,18947
29437,77204,70126
9811,89020,52272
59901,40633,91295
6987,80336,91986
63310,78431,65957
52158,57483,71820
21803,75753,32227
95984,3751,42174
64950,23485,89640
67800,10887,36758
25967,60371,22749
14510,35,56129
82069,51656,17895
43825,85193,36502
21384,31901,23763
70821,99276,40784
1336,72798,98198
19043,11095,55249
17895,65556,42740
98539,46018,48236
94258,10685,2282
9216,92896,78108
87131,35812,11998
96799,71501,12643
41046,42435,91508
92652,86239,92538
83656,80720,60852
76794,85098,93363
57597,71905,41567
79540,70014,13489
88534,81766,63802
3632,64031,12058
60795,3229,53302
75227,33480,12779
74138,11896,63415
34000,69529,57337
66253,32751,52281
29832,54344,76901
29827,16184,96817
32076,50857,13028
49751,64661,46997
93715,95391,21951
70071,93137,30728
50467,39905,60656
39883,37708,49815
6196,31364,52253
21460,20949,6132
40240,41311,64536
83351,60710,45399
79921,61765,1825
84002,88985,51530
78113,94443,81118
16455,24923,28133
88189,13613,59372
21394,28221,76822
92191,11494,41154
34319,46816,86891
60488,77726,61305
20063,98984,59240
25797,72775,42845
13367,99145,36505
72237,6972,79517
88396,65049,71385
96457,8010,11471
69412,88347,28710
18273,81104,16348
45469,20275,39580
1433,87634,32022
23018,7752,99704
62445,73926,6546
77887,9443,10859
58526,47266,37959
61812,37877,59402
94915,49841,71861
58262,6002,18685
90889,32442,44232
95060,24416,11757
27552,41469,58346
8636,44702,82605
4945,70462,84890
64755,62300,33428
50231,82566,38097
25743,10883,34625
33071,96816,54697
27933,69691,76434
26998,73280,78152
35745,25876,6272
26939,10513,45773
42120,91508,1147
61726,62101,69958
17349,40786,23504
76842,35407,11029
47074,19347,70108
25197,32178,97226
81871,21139,72307
78684,82787,8516
36165,17842,27034
37085,62681,70523
64447,20522,13905
78618,58174,78265
86397,69789,64405
1083,99541,19198
4474,61673,34783
49430,26443,55150
71437,79922,17994
23895,57113,49764
47548,63294,20400
19430,42432,18043
13108,45180,67272
19887,93510,21983
12186,26333,91834
9655,97454,43414
47118,15770,22003
34200,59868,76038
38922,66367,58205
87213,8401,57638
43866,43130,21676
65804,37252,55708
87996,1885,23133
9245,48156,39872
57644,68213,5080
56611,6261,1366
15379,70493,66800
83799,50948,463
92613,24865,41042
37854,72400,44491
30954,96102,74202
80413,21140,68496
3449,70664,71700
5803,16398,81867
2193,5511,30386
76747,80431,47234
66976,61782,59903
86718,91043,76163
91456,39225,82149
69631,37839,4719
9983,33168,60283
58097,25516,51926
14717,1261,17573
23682,95182,36602
91272,53090,36894
17681,72184,87192
47992,89519,26573
91340,73903,82975
63910,87484,21260
42682,79574,44708
29141,71585,31515
51190,87175,75463
79496,28978,65302
4076,55597,20082
55270,60713,62929
61500,84688,95628
486,35512,70462
653,96662,82667
38222,79646,64921
71584,70816,12456
11468,50299,23827
46719,67364,47378
85223,12987,53551
31275,74741,42873
35561,77973,5254
88652,80801,89457
31441,65190,92010
69023,22529,13332
79496,9263,37006
77822,27057,20256
83232,95034,53797
215,95100,46852
29551,79597,74749
90264,45121,99394
82163,58601,1386
81452,25941,23945
71430,25902,10989
42716,16665,10234
72164,92350,37474
44263,1557,68718
98888,53368,8938
6661,56209,62217
26788,22706,80226
46759,33989,55522
38884,22344,65849
99488,75832,70110
56466,26483,56709
46745,15690,64702
53097,19504,34197
28154,50545,59294
82693,51289,861
70293,85137,97681
66718,40950,640
55228,6803,44640
7540,61389,26852
70186,98600,86515
32601,14888,34874
40363,97512,62828
72988,13125,35893
6535,46143,57329
11500,53382,1642
8052,25706,12672
50017,6350,6783
53433,74658,72525
53717,95538,62079
92621,91358,81755
6631,62086,37567
30239,98459,36149
12718,85469,37997
86472,84411,40689
16304,60064,9150
61958,29423,89108
33005,88497,41728
52072,46770,47156
2434,37497,60838
1761,39343,95778
932,57443,81969
71902,9162,72642
93880,17609,23616
59581,52092,66486
63261,10135,94131
84544,49404,95936
44774,54376,87888
7531,32125,18116
31816,10726,43501
56179,58512,72924
56377,60860,69066
7069,98385,30045
47889,75424,47036
42897,73716,14374
17529,30604,24419
79819,12862,48320
64226,60869,20574
24013,93870,78046
45277,73771,8073
27113,14710,56790
69254,77100,3048
4884,25882,2821
80823,17254,84989
69917,42703,10185
73942,81625,38066
60100,80985,98274
54404,66609,58494
6181,88787,87054
69835,14904,10743
85959,99345,19466
32608,89472,66070
65782,86818,7430
52667,87278,78351
62414,240,42950
63949,57752,23211
31545,75611,93941
62585,3243,86506
57566,44740,54477
