211614908752320, 355884497165907, 259696313651729 @ 15, -119, 26
403760160726375, 378047702508912, 174017730109516 @ -18, -130, 147
144186255945915, 328686782113692, 276690520845056 @ -7, 147, -255
299201969056161, 237456995776920, 10519998213462 @ 93, 50, 366
318259016385963, 232634818611690, 332436547677046 @ 6, 92, -77
182094293871285, 72341961784191, 304755840896330 @ 180, 539, -69
428102985562479, 255668101996532, 347949766680952 @ -6, 6, -51
265205751494415, 117325248112152, 245027868910001 @ -102, 578, 72
452217528050943, 286665882818040, 248755982783600 @ -29, -28, 56
363767786545425, 350244045720012, 277119675028766 @ 69, -96, 26
175059969021403, 443880319406260, 169810040061584 @ -47, -711, 581
295365595505560, 310862797921357, 273955223964786 @ -37, -17, 7
336065438592783, 289623946138428, 321449558987792 @ -122, 27, -91
374184446251122, 284574855207912, 304174931432690 @ 7, -14, -13
168237882157272, 346263090253971, 251078077465445 @ 9, -81, 56
335791575534727, 243083744937704, 386815667680540 @ -28, 78, -168
323491800090507, 250641321294870, 328399272853310 @ 112, 9, -28
344319917883000, 213349059867777, 314626310318096 @ 99, 43, -11
201765060902835, 415682054068614, 365075113180658 @ -20, -371, -414
323009069498575, 217364865099527, 301782396735226 @ 26, 99, -21
385074021666669, 349312676692378, 375651665665970 @ 51, -95, -76
157713165610647, 198310004445402, 22890184788908 @ 222, 301, 655
176561952524453, 322214397607326, 268798693166474 @ 7, 47, -40
291779029514815, 331467079175460, 216541908079920 @ 50, -67, 109
210657150937203, 256486703601870, 135853247956106 @ -72, 299, 548
551779757708541, 478287219295908, 131467018323890 @ -112, -226, 175
187861223504779, 454311799319199, 215177214555615 @ 62, -493, 190
385809457044228, 288546261602878, 276306513548648 @ 69, -36, 29
165161676196158, 313098140977488, 254687084542802 @ -11, 154, 31
274495339466845, 216958632951452, 112717680578586 @ 97, 100, 258
550245748475507, 293045127777944, 193291442627404 @ -109, -38, 112
221810693352743, 334757450467362, 234341692055314 @ 98, -64, 91
455233662388727, 212300216045024, 152685923161686 @ -98, 78, 178
405152080588239, 199145876202792, 236639354391272 @ -18, 86, 71
318234904498404, 218169564633210, 466437175473194 @ 73, 72, -221
164866669018875, 331872693136016, 253654504236116 @ -15, 24, 38
348772979330845, 237791211671167, 100796867119211 @ 76, 27, 218
162571663403789, 325100399890720, 254651637717786 @ -41, 94, 28
321477493578440, 145353754491532, 206781095830811 @ -13, 246, 128
220706950350829, 322939264476282, 255625672837640 @ 23, -19, 41
364110351231620, 360906415942259, 296612614223727 @ -5, -111, -8
282142789010131, 373447590903846, 286416598051511 @ -26, -148, -22
254516059743315, 332015709917304, 257175000505730 @ 60, -62, 42
333066924583638, 387008748513504, 409950354078731 @ -73, -166, -242
242151057757047, 308647660001232, 219400356941894 @ 14, 6, 134
228827179587725, 347035325067872, 194339961778076 @ -11, -90, 227
361655333991591, 298357671445992, 279056018432828 @ 36, -34, 20
163789996652823, 285283788844704, 222421318299068 @ 212, 64, 126
514936975587279, 249710693547413, 265387880955191 @ -102, 13, 38
